Parameter,Estimation Model,Model Specification,Percent Mobility,Cluster Correlation,ICC,Population Parameter,Mean(Est),SD(EST),Mean(SE),MSE,Coverage,Mean(ESS)
rp_int_v2,HLM,L1 & L2,0.25,0,0.3,0.875,0.15887582326593103,0.04045733565618867,0.04252733985500925,0.5128338365030479,0,1088.2485107516222
rp_int_v2,HLM,L1 & L2,0.25,0.25,0.05,0.90625,0.15847161893967235,0.040054860076576014,0.04248607899023979,0.5591725071812046,0,1083.5205138141994
rp_int_v2,HLM,L1 & L2,0.25,0.25,0.15,0.90625,0.15847161893967254,0.040054860076576014,0.04248607899023982,0.5591725071812043,0,1083.5205138142007
rp_int_v2,HLM,L1 & L2,0.25,0.25,0.3,0.90625,0.1584716189396727,0.04005486007657612,0.042486078990239845,0.5591725071812041,0,1083.5205138142028
rp_int_v2,HLM,L1 & L2,0.5,0,0.05,0.75,0.12259901641459231,0.033967688484554566,0.034817800740833696,0.3936319942039371,0,934.2575319619659
rp_int_v2,HLM,L1 & L2,0.5,0,0.15,0.75,0.12258413415031762,0.0339704432109962,0.0348129951233492,0.3936506687199066,0,934.4007572834716
rp_int_v2,HLM,L1 & L2,0.5,0,0.3,0.75,0.12258413415031753,0.03397044321099609,0.034812995123349164,0.3936506687199067,0,934.4007572834728
rp_int_v2,HLM,L1 & L2,0.5,0.25,0.05,0.8125,0.12182553581685698,0.03441017424936823,0.034723982434328615,0.47703121547467175,0,921.8092142547424
rp_int_v2,HLM,L1 & L2,0.5,0.25,0.15,0.8125,0.12182553581685711,0.034410174249368305,0.034723982434328615,0.4770312154746716,0,921.8092142547455
rp_int_v2,HLM,L1 & L2,0.5,0.25,0.3,0.8125,0.12182553581685723,0.03441017424936849,0.03472398243432863,0.4770312154746714,0,921.8092142547463
rp_int_v2,MMREM,Null,0,0,0.05,1,1.0196898497355917,0.29404576288215345,0.30037517228405264,3.8769018261018196e-4,0.943,828.3107710872322
rp_int_v2,MMREM,Null,0,0,0.15,1,1.029316992892077,0.23446513972807273,0.24155949251663733,8.594860722340874e-4,0.945,1523.8174573747763
rp_int_v2,MMREM,Null,0,0,0.3,1,1.0304372045607872,0.21966388349754473,0.22747612300637252,9.264234214752079e-4,0.945,1814.9734139754817
rp_int_v2,MMREM,Null,0,0.25,0.05,1,0.9993336664921174,0.30456777328015083,0.2964658856731349,4.4400034372711535e-7,0.924,808.4460495637219
rp_int_v2,MMREM,Null,0,0.25,0.15,1,1.0103261714197689,0.2489193091389721,0.2376313973561593,1.0662981619045168e-4,0.924,1507.1410252686117
rp_int_v2,MMREM,Null,0,0.25,0.3,1,1.0124942061422193,0.23604707032064443,0.22371620995896777,1.5610518712427048e-4,0.925,1805.318163809204
rp_int_v2,MMREM,Null,0.25,0,0.05,0.875,1.0326243072522248,0.31184318975048786,0.31654457502054406,0.024845422236743755,0.958,746.9340390744096
rp_int_v2,MMREM,Null,0.25,0,0.15,0.875,1.040180100549237,0.24716313031752365,0.24793467164138652,0.02728446561745606,0.958,1452.649003090369
rp_int_v2,MMREM,Null,0.25,0,0.3,0.875,1.0394988545736539,0.23283949589790073,0.2310821504409968,0.027059873156044127,0.96,1775.9751188016571
rp_int_v2,MMREM,Null,0.25,0.25,0.05,0.90625,1.0254557607026995,0.32503307240815166,0.3128264332141985,0.014210013384709258,0.941,753.7547284621891
rp_int_v2,MMREM,Null,0.25,0.25,0.15,0.90625,1.0243479536586793,0.25689186171728334,0.24367513105181682,0.013947126658367552,0.943,1463.1075194074
rp_int_v2,MMREM,Null,0.25,0.25,0.3,0.90625,1.0214134727572672,0.24111619385220068,0.22682207614896083,0.013262625457513832,0.947,1780.6641333305
rp_int_v2,MMREM,Null,0.5,0,0.05,0.75,1.0268236922334082,0.3260519310886088,0.33582771979746556,0.0766313565817367,0.955,630.8827030775524
rp_int_v2,MMREM,Null,0.5,0,0.15,0.75,1.0350086126499363,0.23888895009069733,0.25326743578615485,0.08122990928464141,0.93,1330.4639473370216
rp_int_v2,MMREM,Null,0.5,0,0.3,0.75,1.0323041541247149,0.21602755017809094,0.2321968339954057,0.07969563543607078,0.91,1695.0074824773153
rp_int_v2,MMREM,Null,0.5,0.25,0.05,0.8125,1.0578276904028758,0.3386396972312107,0.33664312149379727,0.060185675678409295,0.953,679.4814185221503
rp_int_v2,MMREM,Null,0.5,0.25,0.15,0.8125,1.035814978663359,0.2535097907797617,0.25129355011825605,0.0498695796954165,0.939,1376.2392402574185
rp_int_v2,MMREM,Null,0.5,0.25,0.3,0.8125,1.023803654537352,0.23236977332652664,0.2294630267875146,0.04464923442084055,0.941,1724.4702472264623
rp_int_v2,MMREM,L2,0,0,0.05,1,0.16441608807863228,0.1190241923453541,0.1138991688497848,0.698200473861816,0.003,103.20156579871202
rp_int_v2,MMREM,L2,0,0,0.15,1,0.20300714765714759,0.06897672046120963,0.06946983521064229,0.6351976066855958,0,558.7148322279388
rp_int_v2,MMREM,L2,0,0,0.3,1,0.20731733532167082,0.05219159903062823,0.05457550057630679,0.6283458068815364,0,1070.8045148365213
rp_int_v2,MMREM,L2,0,0.25,0.05,1,0.16322522018896063,0.11816891441803504,0.11380377651192586,0.7001920321278136,0.003,101.69455479341173
rp_int_v2,MMREM,L2,0,0.25,0.15,1,0.20319835331709762,0.0682437845047162,0.06950307551978716,0.6348928641565849,0,559.3573415289317
rp_int_v2,MMREM,L2,0,0.25,0.3,1,0.20754104073071633,0.05182385891173938,0.054625503770393116,0.6279912021261562,0,1069.610556615401
rp_int_v2,MMREM,L2,0.25,0,0.05,0.875,0.16297775913532309,0.12306342795968382,0.12038430115311242,0.506975671485956,0.018,89.2173272750257
rp_int_v2,MMREM,L2,0.25,0,0.15,0.875,0.2000623614259484,0.07303883283095401,0.07292805086419146,0.45554081596391705,0,479.1911829511175
rp_int_v2,MMREM,L2,0.25,0,0.3,0.875,0.20471528144630435,0.05234015736682953,0.05568963887880429,0.449281603926607,0,982.7469335600832
rp_int_v2,MMREM,L2,0.25,0.25,0.05,0.90625,0.1632727838124381,0.12345505718303132,0.12040771034539384,0.552015143773819,0.014,89.61269249526251
rp_int_v2,MMREM,L2,0.25,0.25,0.15,0.90625,0.20007642611080134,0.07259286916781126,0.072970429618353,0.4986811164594435,0,478.6968506199109
rp_int_v2,MMREM,L2,0.25,0.25,0.3,0.90625,0.20456337340285075,0.05195008048193886,0.05567978836359896,0.4923641219452872,0,979.0188651355859
rp_int_v2,MMREM,L2,0.5,0,0.05,0.75,0.1592426090533947,0.1270478838790988,0.1281354890199792,0.34899429495804024,0.119,77.09375270497019
rp_int_v2,MMREM,L2,0.5,0,0.15,0.75,0.19939036315724643,0.07776113464116217,0.07902096098421478,0.30317097218410893,0,394.0686192980614
rp_int_v2,MMREM,L2,0.5,0,0.3,0.75,0.20721739869340702,0.05456907277385411,0.058796874914413766,0.29461295228115186,0,872.3245577432996
rp_int_v2,MMREM,L2,0.5,0.25,0.05,0.8125,0.15912479561206533,0.12849311827627985,0.12820301851891772,0.42689915770897535,0.071,76.9045445842494
rp_int_v2,MMREM,L2,0.5,0.25,0.15,0.8125,0.19894014924342768,0.07776579274626423,0.07906831664975912,0.37645569046042726,0,390.7848861531578
rp_int_v2,MMREM,L2,0.5,0.25,0.3,0.8125,0.20650927721887818,0.054484840404773506,0.05869022991226726,0.3672247560967865,0,867.6368509111712
rp_int_v2,MMREM,L1 & L2,0,0,0.05,1,0.21049764924405692,0.05103185668563986,0.05361552564977905,0.6233139618491602,0,1233.1734016695111
rp_int_v2,MMREM,L1 & L2,0,0,0.15,1,0.21049290605307328,0.051031960563848275,0.053614696694154015,0.6233214513925214,0,1233.1989306219605
rp_int_v2,MMREM,L1 & L2,0,0,0.3,1,0.2104929060530734,0.051031960563848254,0.05361469669415402,0.6233214513925213,0,1233.1989306219625
rp_int_v2,MMREM,L1 & L2,0,0.25,0.05,1,0.2106051497132103,0.050785794275242956,0.05363692549224113,0.623144229659303,0,1231.4353093372215
rp_int_v2,MMREM,L1 & L2,0,0.25,0.15,1,0.21072038767727905,0.05088995724414869,0.05366122126150067,0.6229623064283046,0,1231.7370285630725
rp_int_v2,MMREM,L1 & L2,0,0.25,0.3,1,0.21066398603969388,0.050806355292361036,0.053650667401624094,0.6230513429347445,0,1231.5280021256085
rp_int_v2,MMREM,L1 & L2,0.25,0,0.05,0.875,0.2074848300555725,0.05075757741885064,0.05442331930580534,0.4455765021059379,0,1135.670025937121
rp_int_v2,MMREM,L1 & L2,0.25,0,0.15,0.875,0.20762451290857728,0.05074978089148606,0.05445391698152952,0.4453900407705137,0,1135.9485895982739
rp_int_v2,MMREM,L1 & L2,0.25,0,0.3,0.875,0.20762451290857753,0.05074978089148585,0.05445391698152957,0.4453900407705134,0,1135.9485895982757
rp_int_v2,MMREM,L1 & L2,0.25,0.25,0.05,0.90625,0.20729229939832158,0.05032362417374454,0.05437013397521881,0.4885418672303855,0,1134.628850780663
rp_int_v2,MMREM,L1 & L2,0.25,0.25,0.15,0.90625,0.20729229939832153,0.05032362417374438,0.05437013397521875,0.4885418672303856,0,1134.6288507806662
rp_int_v2,MMREM,L1 & L2,0.25,0.25,0.3,0.90625,0.20729229939832144,0.05032362417374427,0.05437013397521876,0.4885418672303856,0,1134.6288507806657
rp_int_v2,MMREM,L1 & L2,0.5,0,0.05,0.75,0.21094661380222693,0.05291069657894406,0.05736290840394637,0.2905785531712855,0,1018.9854674450693
rp_int_v2,MMREM,L1 & L2,0.5,0,0.15,0.75,0.21090219916301686,0.05290927455365618,0.05735190266608227,0.2906264388672715,0,1019.137095298632
rp_int_v2,MMREM,L1 & L2,0.5,0,0.3,0.75,0.21090219916301683,0.05290927455365637,0.05735190266608226,0.2906264388672715,0,1019.137095298633
rp_int_v2,MMREM,L1 & L2,0.5,0.25,0.05,0.8125,0.20998645787245407,0.05295432187132149,0.05718180573728318,0.3630225684470821,0,1013.5708490173411
rp_int_v2,MMREM,L1 & L2,0.5,0.25,0.15,0.8125,0.2099864578724541,0.052954321871321555,0.057181805737283174,0.3630225684470821,0,1013.5708490173433
rp_int_v2,MMREM,L1 & L2,0.5,0.25,0.3,0.8125,0.2099864578724541,0.052954321871321555,0.057181805737283174,0.3630225684470821,0,1013.5708490173438
