Parameter,Estimation Model,Model Specification,Percent Mobility,Cluster Correlation,ICC,Population Parameter,Mean(Est),SD(EST),Mean(SE),MSE,Coverage,Mean(ESS)
fp_int,MMREM,L2,0.25,0,0.3,11.443375672974064,11.44017911210052,0.07170996834530843,0.06752411488106613,1.0218001418272571e-5,0.927,307.17661763468146
fp_int,MMREM,L2,0.25,0.25,0.05,20.30776406404415,20.307169437393693,0.11258866318415797,0.10316716328551068,3.5358085343405154e-7,0.931,1509.9495945368317
fp_int,MMREM,L2,0.25,0.25,0.15,14.78713553878169,14.784857159917252,0.08273216025357505,0.07727842685565013,5.19101024992205e-6,0.929,668.9482693077441
fp_int,MMREM,L2,0.25,0.25,0.3,11.443375672974064,11.43935067698497,0.07241888485002682,0.06811258235492847,1.6200592712216568e-5,0.932,307.37642339233764
fp_int,MMREM,L2,0.5,0,0.05,20.30776406404415,20.30575822027739,0.11039063742483694,0.10210745177457646,4.023409216650152e-6,0.921,1537.4126527443057
fp_int,MMREM,L2,0.5,0,0.15,14.78713553878169,14.78506239122347,0.08027201005151517,0.07657762273370229,4.297940798157557e-6,0.923,692.5874808812778
fp_int,MMREM,L2,0.5,0,0.3,11.443375672974064,11.440423707706488,0.07073275712856256,0.06797506763851771,8.714098940972528e-6,0.93,317.79320428676624
fp_int,MMREM,L2,0.5,0.25,0.05,20.30776406404415,20.304995306779027,0.11284619648242793,0.10331296733171223,7.66601679317226e-6,0.924,1539.4148276408032
fp_int,MMREM,L2,0.5,0.25,0.15,14.78713553878169,14.784478791223835,0.08183516183280688,0.07744295374457326,7.058307586171747e-6,0.923,691.0314957383084
fp_int,MMREM,L2,0.5,0.25,0.3,11.443375672974064,11.43994899020272,0.0717984382265647,0.06870875447903954,1.174215481542924e-5,0.936,319.01836604955895
fp_int,MMREM,L1 & L2,0,0,0.05,10,9.994215065629541,0.10092908437822441,0.09986694986212173,3.346546567051292e-5,0.941,358.27968469115484
fp_int,MMREM,L1 & L2,0,0,0.15,10,9.994121564941413,0.10097302686670018,0.09986746349861186,3.4555998738029775e-5,0.941,358.2697944822245
fp_int,MMREM,L1 & L2,0,0,0.3,10,9.994121564941402,0.100973026866701,0.09986746349861174,3.455599873815508e-5,0.941,358.2697944822235
fp_int,MMREM,L1 & L2,0,0.25,0.05,10,9.994641383913752,0.1009705989406858,0.10033385665057899,2.8714766359795742e-5,0.947,357.6495582707255
fp_int,MMREM,L1 & L2,0,0.25,0.15,10,9.994602557262628,0.10097972324698287,0.10034398068456223,2.9132388103214234e-5,0.947,357.5099315216398
